{'event': '==> Starting upsert for all collections', 'level': 'info', 'timestamp': '2023-07-03 04:15:36', 'func_name': '<module>', 'lineno': 24, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/main.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': '==> Starting upsert for all collections', 'level': 'info', 'timestamp': '2023-07-03 04:15:36', 'func_name': '<module>', 'lineno': 24, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/main.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': '==> Upserting user_login_activity', 'level': 'info', 'timestamp': '2023-07-03 04:15:36', 'func_name': 'upsert_docs_for_one_collection', 'lineno': 23, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': '==> Upserting user_login_activity', 'level': 'info', 'timestamp': '2023-07-03 04:15:36', 'func_name': 'upsert_docs_for_one_collection', 'lineno': 23, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': 'Time taken: 42.67380404472351s', 'level': 'info', 'timestamp': '2023-07-03 04:16:19', 'func_name': 'upsert_docs_for_one_collection', 'lineno': 30, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': 'Time taken: 42.67380404472351s', 'level': 'info', 'timestamp': '2023-07-03 04:16:19', 'func_name': 'upsert_docs_for_one_collection', 'lineno': 30, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': '==> Upserting work_orders', 'level': 'info', 'timestamp': '2023-07-03 04:16:19', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 35, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': '==> Upserting work_orders', 'level': 'info', 'timestamp': '2023-07-03 04:16:19', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 35, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': 'Time taken: 18.745119094848633s', 'level': 'info', 'timestamp': '2023-07-03 04:16:37', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 45, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': 'Time taken: 18.745119094848633s', 'level': 'info', 'timestamp': '2023-07-03 04:16:37', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 45, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': '==> Upserting audit_log', 'level': 'info', 'timestamp': '2023-07-03 04:16:37', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 35, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': '==> Upserting audit_log', 'level': 'info', 'timestamp': '2023-07-03 04:16:37', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 35, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': 'Time taken: 194.11484479904175s', 'level': 'info', 'timestamp': '2023-07-03 04:19:52', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 45, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': 'Time taken: 194.11484479904175s', 'level': 'info', 'timestamp': '2023-07-03 04:19:52', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 45, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': '==> Upserting projects', 'level': 'info', 'timestamp': '2023-07-03 04:19:52', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 35, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': '==> Upserting projects', 'level': 'info', 'timestamp': '2023-07-03 04:19:52', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 35, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': 'Time taken: 5.306276082992554s', 'level': 'info', 'timestamp': '2023-07-03 04:19:57', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 45, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': 'Time taken: 5.306276082992554s', 'level': 'info', 'timestamp': '2023-07-03 04:19:57', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 45, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': '==> Upserting doe_experiments', 'level': 'info', 'timestamp': '2023-07-03 04:19:57', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 35, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': '==> Upserting doe_experiments', 'level': 'info', 'timestamp': '2023-07-03 04:19:57', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 35, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': 'Time taken: 169.25495314598083s', 'level': 'info', 'timestamp': '2023-07-03 04:22:46', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 45, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': 'Time taken: 169.25495314598083s', 'level': 'info', 'timestamp': '2023-07-03 04:22:46', 'func_name': 'upsert_docs_for_all_companies', 'lineno': 45, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/helpers/db.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': 'Time taken for entire operation: 430.1105988025665s', 'level': 'info', 'timestamp': '2023-07-03 04:22:46', 'func_name': '<module>', 'lineno': 47, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/main.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
{'event': 'Time taken for entire operation: 430.1105988025665s', 'level': 'info', 'timestamp': '2023-07-03 04:22:46', 'func_name': '<module>', 'lineno': 47, 'pathname': '/Users/maitingkai/Projects/dashboard-cronjob/main.py', 'thread': 140704613020480, 'thread_name': 'MainThread'}
